test_case,simulation_success,physical_fault_or_breaker_action_executed,schema_only,simulation_mode,trip_implementation,fault_configuration_status,measurement_extraction_status,training_ready_candidate,timeout_or_error_message,fault_type,fault_start_s,fault_clear_s,tripped_line,relay_operated,breaker_opened,min_voltage_pu,max_voltage_pu,min_frequency_hz,max_frequency_hz,max_speed_deviation,max_rotor_angle_separation_deg,signal_source_summary,unstable_flag,trip_time_s,note,source_model
single_line_trip,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,1,,pilot_line_trip,0.5,0.0,L01,0,1,0.977848981006146,1.07072163203149,49.9353616132134,50.032733581516,0.0012927677357325,63.0811755502974,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated by validation script,
clean_lab_handwired_line_trip_L02,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L02,0,1,0.971757189150533,1.06364694678186,49.942069286773,50.0438726917005,0.0011586142645401,60.0159418060852,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab
clean_lab_handwired_line_trip_L03,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L03,0,1,0.977216383673597,1.06594646346562,49.9579511174319,50.0219087857767,0.0008409776513627,59.1851655492772,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L03
clean_lab_handwired_line_trip_L04,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L04,0,1,0.970568931976294,1.06388416646219,49.9194265059914,50.0604917001817,0.0016114698801721,60.3441340196063,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L04
clean_lab_handwired_line_trip_L05,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L05,0,1,0.976533231451396,1.06672687760572,49.9435041779294,50.0350763401759,0.0011299164414124,59.3996260385128,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L05
clean_lab_handwired_line_trip_L07,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L07,0,1,0.977275712718798,1.0635,49.9659586220781,50.0638838623163,0.0012776772463254,64.2603719421582,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L07
clean_lab_handwired_line_trip_L06,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L06,0,1,0.98179500744113,1.0635,49.992072013846,50.0015960519456,0.0001585597230798,59.4195478404221,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L06
clean_lab_handwired_line_trip_L08,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L08,0,1,0.980434812521834,1.0635,49.9220094363894,50.0593379807457,0.001559811272212,68.693688479008,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L08
clean_lab_handwired_line_trip_L09,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L09,0,1,0.982,1.0635,49.9748232158444,50.0086356413494,0.0005035356831114,58.5226345615503,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L09
clean_lab_handwired_line_trip_L10,1,1,0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L10,0,1,0.98176631303268,1.06568748727911,49.9772861882411,50.0243642178561,0.0004872843571215,60.2535109876332,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L10
three_phase_fault_clear,1,1,0,graphical_simulink_phasor_RMS,existing_three_phase_fault_block,configured,voltage_speed_angle,1,,three_phase_fault_clear,0.5,0.6,,0,0,0.413611442715365,1.0830674671578,49.7734452731467,50.4598788927149,0.0091975778542976,100.437168992822,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,1,,existing three-phase fault block executed with temporal fault parameters,
