method,budget_type,budget_label,K,search_budget_ratio,critical_hit_count,relay_cascade_hit_count,recall_critical,recall_relay_cascade,precision_at_k,captured_total_load_shed_mw,captured_total_load_shed_ratio,captured_relay_cascade_load_shed_mw,captured_relay_cascade_load_shed_ratio,critical_hit_count_std,relay_cascade_hit_count_std,recall_critical_std,recall_relay_cascade_std,precision_at_k_std,captured_total_load_shed_mw_std,captured_total_load_shed_ratio_std,captured_relay_cascade_load_shed_mw_std,captured_relay_cascade_load_shed_ratio_std
line_order,fixed,50,50,0.0014530659691950015,5.0,5.0,0.0026896180742334587,0.0030138637733574444,0.1,145.9262009708935,0.0023669566804290897,145.92620097089352,0.002599852323539122,,,,,,,,,
line_order,fixed,100,100,0.002906131938390003,6.0,6.0,0.0032275416890801506,0.003616636528028933,0.06,179.80777282719083,0.002916523600660894,179.80777282719086,0.0032034936348984315,,,,,,,,,
line_order,percent,0.5%,172,0.004998546934030805,7.0,7.0,0.0037654653039268424,0.004219409282700422,0.040697674418604654,223.40042406526229,0.003623606471173979,223.4004240652623,0.003980149607962079,,,,,,,,,
line_order,fixed,200,200,0.005812263876780006,12.0,12.0,0.006455083378160301,0.007233273056057866,0.06,385.96738884962093,0.006260480183730701,385.967388849621,0.0068764773291889155,,,,,,,,,
line_order,percent,1%,344,0.00999709386806161,16.0,16.0,0.008606777837547068,0.009644364074743821,0.046511627906976744,531.5093798670653,0.008621204889984123,531.5093798670653,0.009469484486242815,,,,,,,,,
line_order,fixed,500,500,0.014530659691950014,24.0,24.0,0.012910166756320602,0.014466546112115732,0.048,796.0256844307969,0.012911720438281185,796.0256844307969,0.014182163391459906,,,,,,,,,
line_order,percent,2%,688,0.01999418773612322,35.0,35.0,0.018827326519634213,0.02109704641350211,0.050872093023255814,1135.91329423329,0.018424775964050354,1135.9132942332903,0.020237673548017913,,,,,,,,,
line_order,fixed,1000,1000,0.02906131938390003,56.0,56.0,0.03012372243141474,0.03375527426160337,0.056,1820.9871955717622,0.029536832857000987,1820.987195571762,0.03244309630514221,,,,,,,,,
line_order,percent,5%,1720,0.04998546934030805,103.0,80.0,0.055406132329209254,0.04822182037371911,0.05988372093023256,3246.940137557276,0.05266611889031134,2642.0910879141543,0.04707205839810578,,,,,,,,,
line_order,fixed,2000,2000,0.05812263876780006,114.0,91.0,0.06132329209252286,0.05485232067510549,0.057,3632.5233164534484,0.05892036709986639,3027.6742668103257,0.05394169056080947,,,,,,,,,
line_order,percent,10%,3441,0.1,194.0,162.0,0.1043571812802582,0.09764918625678119,0.056378959604766056,6222.7746724924855,0.10093484229606506,5351.510243450721,0.09534364801050282,,,,,,,,,
line_order,fixed,5000,5000,0.14530659691950015,279.0,247.0,0.150080688542227,0.14888487040385776,0.0558,9051.62115584037,0.14681938555916388,8180.356726798605,0.14574298036983985,,,,,,,,,
random,fixed,50,50,0.0014530659691950015,2.3,1.8,0.0012372243141473911,0.0010849909584086802,0.046,67.48108231504102,0.0010945587394550925,55.60836724595954,0.0009907305324933482,1.1595018087284057,1.1352924243950933,0.0006237234043724615,0.0006843233420103035,0.023190036174568114,50.67258509890548,0.0008219210327992376,45.0047667064977,0.0008018145234628711
random,fixed,100,100,0.002906131938390003,5.2,4.5,0.0027972027972027968,0.0027124773960217,0.052000000000000005,168.92263330020455,0.0027399641236829247,154.245469738836,0.002748070190464855,1.6193277068654823,1.8408935028645435,0.0008710746136984844,0.001109640447778507,0.016193277068654827,60.362400353307045,0.0009790920740237275,60.32275883142625,0.0010747231385915062
random,percent,0.5%,172,0.004998546934030805,8.9,7.9,0.0047875201721355575,0.0047619047619047615,0.05174418604651163,311.89659024041765,0.005059034724133344,283.90005088830895,0.005058023864419428,2.6853512081497106,2.5144029554194813,0.0014445138290208233,0.0015156135957923335,0.015612507024126223,96.1294924971572,0.0015592425687679518,74.50969421516258,0.0013274806055570392
random,fixed,200,200,0.005812263876780006,10.5,9.4,0.0056481979558902625,0.005666063893911995,0.052500000000000005,353.6349805402167,0.005736041053998475,322.486961983323,0.005745496503336271,3.100179206289712,3.134042472944842,0.0016676596053199098,0.0018891154146744077,0.015500896031448563,102.04121188766737,0.0016551320225541243,86.54658017770072,0.0015419323334144794
random,percent,1%,344,0.00999709386806161,17.7,16.3,0.009521247982786444,0.009825195901145268,0.051453488372093015,567.1084526357234,0.009198630071659782,528.9973375022303,0.009424729403635358,3.653004851412662,3.7133393177689658,0.001965037574724401,0.002238299769601547,0.010619200149455412,129.75328285387886,0.0021046282135437225,111.1606059391799,0.0019804610667184972
random,fixed,500,500,0.014530659691950014,26.0,23.5,0.013986013986013988,0.014165159734779989,0.052000000000000005,841.4633647503891,0.013648730106593681,770.7575136821785,0.013731980271531483,3.681787005729087,3.5668224265054493,0.001980520175217368,0.002149983379448734,0.007363574011458175,116.09419650590446,0.001883074678504841,103.22837763460237,0.0018391387952464118
random,percent,2%,688,0.01999418773612322,36.7,33.2,0.01974179666487359,0.02001205545509343,0.05334302325581395,1175.2663394532215,0.01906309144584052,1078.8129931011906,0.019220362403169548,4.83160888777687,4.638007234913623,0.002599036518438338,0.00279566439717518,0.007022687336884985,179.0537217965756,0.0029042927188012674,153.99812577976937,0.0027436634577299914
random,fixed,1000,1000,0.02906131938390003,54.5,49.2,0.029316837009144697,0.029656419529837247,0.05450000000000001,1775.4202745952553,0.028797726875386065,1635.830586991575,0.029144306671525698,6.553201083779166,6.142746399887703,0.003525121615803747,0.00370268016870868,0.006553201083779167,158.29330797686083,0.0025675540121666202,146.27945045014582,0.002606145891611975
random,percent,5%,1720,0.04998546934030805,93.0,83.8,0.05002689618074233,0.05051235684147076,0.05406976744186047,3040.2507945270872,0.04931357001283877,2781.1751055436507,0.049550008923750784,6.749485577105529,6.924994985958874,0.0036307076799922153,0.0041741983037726785,0.003924119521572981,227.90795964233772,0.0036967197392193704,252.9361165576979,0.004506363805569485
random,fixed,2000,2000,0.05812263876780006,110.0,99.4,0.0591715976331361,0.059915611814345994,0.05500000000000001,3647.859760547013,0.05916912776491331,3334.0440474410498,0.05940003992326448,6.27162924074226,6.963396361610396,0.003373657472158289,0.0041973456067573205,0.00313581462037113,234.70155286686173,0.003806913390256117,293.9438204020244,0.005236965804479478
random,percent,10%,3441,0.1,187.2,168.1,0.1006993006993007,0.10132610006027729,0.05440278988666085,6211.525123014207,0.10075237200551908,5627.608145880658,0.1002626671337371,8.189424074174365,9.445163371329853,0.004405284601492396,0.005693287143658742,0.0023799546858978104,382.53835356826073,0.006204860439554248,359.45715339357065,0.006404165319492116
random,fixed,5000,5000,0.14530659691950015,274.2,246.5,0.1474986551909629,0.148583484026522,0.054839999999999986,9059.47054646043,0.14694670448778557,8242.264338964054,0.14684593959349018,7.857056276579246,9.15605446321358,0.004226496114351394,0.005519020170713436,0.001571411255315849,352.19655045421274,0.005712709385807672,402.70905315441075,0.007174750391552827
LODF_yP,fixed,50,50,0.0014530659691950015,6.0,6.0,0.0032275416890801506,0.003616636528028933,0.12,171.90924397381463,0.0027884076385466623,171.90924397381463,0.0030627717600372685,,,,,,,,,
LODF_yP,fixed,100,100,0.002906131938390003,16.0,16.0,0.008606777837547068,0.009644364074743821,0.16,419.8260212430487,0.006809675020577045,419.8260212430487,0.007479709946184598,,,,,,,,,
